date,vemquartile,outcome,value,type
2021-05-24,4,hosps,61,observed
2021-05-24,4,deaths,4,observed
2021-05-31,1,cases,1776,observed
2021-05-31,1,hosps,194,observed
2021-05-31,1,deaths,23,observed
2021-05-31,2,cases,1687,observed
2021-05-31,2,hosps,174,observed
2021-05-31,2,deaths,22,observed
2021-05-31,3,cases,1377,observed
2021-05-31,3,hosps,103,observed
2021-05-31,3,deaths,13,observed
2021-05-31,4,cases,958,observed
2021-05-31,4,hosps,66,observed
2021-05-31,4,deaths,8,observed
2021-06-07,1,cases,1777,observed
2021-06-07,1,hosps,180,observed
2021-06-07,1,deaths,22,observed
2021-06-07,2,cases,1720,observed
2021-06-07,2,hosps,147,observed
2021-06-07,2,deaths,15,observed
2021-06-07,3,cases,1408,observed
2021-06-07,3,hosps,113,observed
2021-06-07,3,deaths,18,observed
2021-06-07,4,cases,1032,observed
2021-06-07,4,hosps,65,observed
2021-06-07,4,deaths,11,observed
2021-06-14,1,cases,1916,observed
2021-06-14,1,hosps,206,observed
2021-06-14,1,deaths,31,observed
2021-06-14,2,cases,1830,observed
2021-06-14,2,hosps,179,observed
2021-06-14,2,deaths,25,observed
2021-06-14,3,cases,1686,observed
2021-06-14,3,hosps,127,observed
2021-06-14,3,deaths,15,observed
2021-06-14,4,cases,1141,observed
2021-06-14,4,hosps,90,observed
2021-06-14,4,deaths,7,observed
2021-06-21,1,cases,2423,observed
2021-06-21,1,hosps,234,observed
2021-06-21,1,deaths,33,observed
2021-06-21,2,cases,2312,observed
2021-06-21,2,hosps,205,observed
2021-06-21,2,deaths,18,observed
2021-06-21,3,cases,2107,observed
2021-06-21,3,hosps,158,observed
2021-06-21,3,deaths,14,observed
2021-06-21,4,cases,1530,observed
2021-06-21,4,hosps,102,observed
2021-06-21,4,deaths,11,observed
2021-06-28,1,cases,3609,observed
2021-06-28,1,hosps,354,observed
2021-06-28,1,deaths,55,observed
2021-06-28,2,cases,3371,observed
2021-06-28,2,hosps,269,observed
2021-06-28,2,deaths,40,observed
2021-06-28,3,cases,3177,observed
2021-06-28,3,hosps,218,observed
2021-06-28,3,deaths,17,observed
2021-06-28,4,cases,2540,observed
2021-06-28,4,hosps,164,observed
2021-06-28,4,deaths,9,observed
2021-07-05,1,cases,5806,observed
2021-07-05,1,hosps,470,observed
2021-07-05,1,deaths,61,observed
2021-07-05,2,cases,5809,observed
2021-07-05,2,hosps,469,observed
2021-07-05,2,deaths,52,observed
2021-07-05,3,cases,5361,observed
2021-07-05,3,hosps,355,observed
2021-07-05,3,deaths,38,observed
2021-07-05,4,cases,4720,observed
2021-07-05,4,hosps,279,observed
2021-07-05,4,deaths,35,observed
2021-07-12,1,cases,9462,observed
2021-07-12,1,hosps,707,observed
2021-07-12,1,deaths,103,observed
2021-07-12,2,cases,9455,observed
2021-07-12,2,hosps,640,observed
2021-07-12,2,deaths,94,observed
2021-07-12,3,cases,8861,observed
2021-07-12,3,hosps,558,observed
2021-07-12,3,deaths,53,observed
2021-07-12,4,cases,7680,observed
2021-07-12,4,hosps,371,observed
2021-07-12,4,deaths,44,observed
2021-07-19,1,cases,13991,observed
2021-07-19,1,hosps,994,observed
2021-07-19,1,deaths,162,observed
2021-07-19,2,cases,14161,observed
2021-07-19,2,hosps,1009,observed
2021-07-19,2,deaths,147,observed
2021-07-19,3,cases,13340,observed
2021-07-19,3,hosps,773,observed
2021-07-19,3,deaths,113,observed
2021-07-19,4,cases,11355,observed
2021-07-19,4,hosps,573,observed
2021-07-19,4,deaths,66,observed
2021-07-26,1,cases,19464,observed
2021-07-26,1,hosps,1419,observed
2021-07-26,1,deaths,264,observed
2021-07-26,2,cases,19701,observed
2021-07-26,2,hosps,1331,observed
